COD_PROVINCIA_MAT;CLAVE_TRAMITE;CODIGO_POSTAL;FECHA_PRIM_MAT;IND_USADO;PERSONA;SERVICIO;MUNICIPIO;KW;RENTING;IND_ROBO;FABRICANTE;DISTANCIA_EJES
AB;1;02001;;N;D;B00;ALBACETE;80.00;N;;DAIMLERAG;2699
B;1;43713;18042000;U;D;B00;SANTJAUMEDOMENYS;51.00;N;;ND;2824
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;RENAULTS.A.S.;2697
C;1;15630;;N;D;B00;MIÑO;73.20;N;;KIAMOTORSSLOVAKIAS.R.O.;2650
J;1;23008;;N;D;B00;JAEN;130.00;N;;VOLKSWAGENAG;2708
P;1;34002;;N;X;A00;PALENCIA;338.00;N;;VOLVOTRUCKCORPORATION;3800
CA;1;41309;;N;D;B00;LARINCONADA;70.00;N;;TRIUMPHMOTORCYCLESLIMITED;1410
V;1;46440;;N;X;A00;ALMUSSAFES;0.00;N;;FAHRZEUGWERKBERNARDKRONEGMBH;1310
V;1;46026;;N;D;B00;VALENCIA;74.00;N;;FORDWERKEGMBH;2933
MA;1;29640;;N;D;A04;FUENGIROLA;77.00;N;;VOLKSWAGENAG;2675
MA;1;29010;;N;D;B00;MALAGA;77.00;N;;SEAT,S.A.;2578
A;1;46760;;N;D;B00;TAVERNESDELAVALLDIGNA;51.00;N;;SEAT,S.A.;2469
B;1;08904;;N;D;B00;LHOSPITALETDELLOB;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2510
M;1;28108;;N;X;B00;ALCOBENDAS;77.00;S;;VOLKSWAGENAG;2620
AL;1;04720;;N;D;B00;ROQUETASDEMAR;66.20;N;;HYUNDAIMOTORMANUFACTURINGALABAMALLC;2615
M;1;13250;;N;D;B00;DAIMIEL;85.00;N;;KIAMOTORSSLOVAKIAS.R.O.;2640
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;103.00;S;;VOLKSWAGENAG;3000
GC;1;35400;;N;D;B00;ARUCAS;62.50;N;;HYUNDAIASSANOTOMOTIVSANAYIVETICARETA.S.;2525
M;1;28500;;N;D;B00;ARGANDADELREY;100.00;N;;HYUNDAIMOTORMANUFACTURINGCZECHS.R.O;2640
M;1;28830;;N;X;B00;SANFERNANDOHENARES;125.00;N;;DAIMLERAG;2840
SE;1;41970;;N;D;B00;SANTIPONCE;10.55;N;;MBKINDUSTRIE;1525
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;68.00;S;;AUTOMOBILESCITROEN;2608
B;1;08034;;N;D;B00;BARCELONA;66.00;N;;VOLKSWAGENAG;2456
GC;1;35217;;N;D;B00;VALSEQUILLOGC;110.00;N;;AUDIA.G.;2818
PO;1;36314;;N;D;B00;VIGO;55.00;N;;AUTOMOBILEDACIASA;2589
B;1;07840;;N;D;B00;STAEULALIADELRIO;100.00;N;;BAYERISCHEMOTORENWERKEAG;2567
CS;1;12549;;N;D;B00;BETXI;66.20;N;;KIAMOTORSSLOVAKIAS.R.O.;2615
IB;1;07170;;N;D;B00;VALLDEMOSA;92.00;N;;ADAMOPELAG;2703
GI;1;17480;;N;D;B00;ROSES;77.00;N;;DUCATIMOTORHOLDINGSPA;1485
PO;1;36845;;N;D;B00;FORNELOSDEMONTES;143.00;N;;ADAMOPELAG;2685
PO;1;36475;;N;D;B00;OPORRIÑO;51.00;N;;VOLKSWAGENAG;2455
BI;1;48014;;N;D;B00;BILBAO;135.00;N;;BAYERISCHEMOTORENWERKEAG;2690
MA;1;29600;;N;X;B00;MARBELLA;100.00;N;;DAIMLERAG;2699
MA;1;29190;;N;D;A03;MALAGA;7.60;N;;PIAGGIOVIETNAMCOLTD;1345
T;1;43840;;N;D;B00;SALOU;35.00;N;;KAWASAKIHEAVYINDUSTRIESLTD;1445
M;1;28860;;N;X;A00;PARACUELLOSJARAMA;140.00;N;;DAIMLERAG;4325
VA;1;47006;;N;D;B00;VALLADOLID;6.30;N;;ZHEJIANGQIANJIANGMOTORCYCLECOLTD;1250
B;1;08021;;N;D;B00;BARCELONA;7.00;N;;CHANGZHOUKWANGYANGMOTORCOLTD;1340
A;1;03740;;N;D;B00;GATADEGORGOS;77.00;N;;VOLKSWAGENAG;2675
V;1;46009;;N;D;B00;VALENCIA;85.00;N;;HYUNDAIMOTORMANUFACTURINGCZECHS.R.O;2615
H;1;21005;;N;D;B00;HUELVA;6.80;N;;ZONGSHENPIAGGIOFOSHANMOTCOLTD;1350
PO;1;36945;;N;D;B00;CANGAS;110.00;N;;AUTOMOBILESCITROEN;2840
CS;1;12004;;N;D;B00;CASTELLOPLANA;80.00;N;;DAIMLERAG;2699
NA;1;31690;;N;D;B00;EZCAROZ;103.00;N;;VOLKSWAGENAG;2605
MA;1;18007;;N;D;B00;GRANADA;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
M;1;28108;;N;X;B00;ALCOBENDAS;110.00;S;;AUDIA.G.;2817
A;1;03430;;N;D;B00;ONIL;110.00;N;;VOLKSWAGENAG;2620
A;1;03340;;N;D;B00;ALBATERA;88.00;N;;HONDAOFTHEU.K.MANUFACTURINGLTD.;2630
LU;1;27004;;N;D;B00;LUGO;92.00;N;;FORDWERKEGMBH;2648
CA;1;11500;;N;D;B00;ELPUERTOSTAMARIA;55.00;N;;AUTOMOBILESPEUGEOT;2513
BI;1;48800;;N;D;B00;BALMASEDA;100.00;N;;DAIMLERAG;2699
B;1;08018;;N;D;B00;BARCELONA;66.00;N;;VOLKSWAGENAG;2456
B;1;08224;;N;X;B00;TERRASSA;130.00;N;;DAIMLERAG;2699
A;1;03205;09072010;U;X;B00;ELCHE;258.00;N;;AUDIA.G.;2992
B;1;08203;;N;D;B00;SABADELL;63.00;N;;AUDIA.G.;2457
J;1;23630;;N;D;B00;VILLATORRES;110.00;N;;VOLKSWAGENAG;2620
TF;1;38660;;N;D;B00;ADEJE;11.00;N;;PIAGGIO&C.S.P.A;1370
O;1;33012;;N;X;A01;OVIEDO;55.00;N;;VOLKSWAGENAG;2681
GI;1;17003;;N;D;B00;GIRONA;77.00;N;;SKODAAUTOA.S.;2589
V;1;46184;;N;D;B00;SANANTONIODEBENAGEBER;92.00;N;;SEAT,S.A.;2618
B;1;08540;;N;D;B00;CENTELLES;103.00;N;;VOLKSWAGENAG;2605
SS;1;20018;;N;D;B00;DONOSTIA;77.00;N;;FORDMOTORCOMPANY;2489
BI;1;48012;;N;D;A04;BILBAO;60.50;N;;AUTOMOBILEDACIASA;2810
M;1;28922;;N;D;B00;ALCORCON;85.00;N;;HYUNDAIMOTORMANUFACTURINGCZECHS.R.O;2640
BA;1;06011;;N;D;B00;BADAJOZ;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2700
SS;1;48640;;N;D;B00;BERANGO;103.00;N;;VOLKSWAGENAG;2711
SE;1;41220;;N;D;B00;BURGUILLOS;81.00;N;;VOLKSWAGENAG;2605
M;1;28180;;N;X;B00;TORRELAGUNA;132.00;S;;AUDIA.G.;2816
MA;1;41006;;N;D;B00;SEVILLA;50.10;N;;TRIUMPHMOTORCYCLESLIMITED;1490
A;1;02612;;N;D;B00;MUNERA;96.00;N;;ADAMOPELAG;2555
TF;1;38205;;N;D;B00;LALAGUNA;90.00;N;;VOLKSWAGENAG;2605
M;1;28022;;N;D;B00;MADRID;125.00;N;;DAIMLERAG;2840
B;1;08018;;N;X;B00;BARCELONA;190.00;N;;JAGUARLANDROVERLIMITED;2923
M;1;28037;;N;X;B00;MADRID;55.00;N;;AUTOMOBILEDACIASA;2810
A;1;03501;;N;D;B00;BENIDORM;51.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2510
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;RENAULTS.A.S.;2697
GC;1;35460;;N;X;B00;GALDAR;1.88;N;;ND;1450
BA;1;06907;;N;D;B00;MONTEMOLIN;51.00;N;;SKODAAUTOA.S.;2451
CU;1;16200;;N;D;B00;MOTILLADELPALANCAR;55.00;N;;FORDWERKEGMBH;2489
C;1;15528;;N;D;B00;FENE;81.00;N;;ADAMOPELAG;2685
B;1;08202;;N;D;B00;SABADELL;84.00;N;;VOLKSWAGENAG;3000
MA;1;29720;;N;X;B00;RINCONDEVICTORIA;82.40;N;;YAMAHAMOTORCO,LTD;1540
IB;1;07702;;N;D;B00;MAO;77.00;N;;SEAT,S.A.;2578
Z;1;50017;;N;D;B00;ZARAGOZA;81.00;N;;ADAMOPELAG;2644
SE;1;41007;;N;D;B00;SEVILLA;6.20;N;;HONDAITALIAINDUSTRIALESPA;1285
M;1;28300;;N;D;B00;ARANJUEZ;100.00;N;;DAIMLERAG;2699
IB;1;07315;;N;X;A01;ESCORCA;66.20;N;;HYUNDAIMOTORMANUFACTURINGCZECHS.R.O;2615
M;1;28905;;N;D;B00;GETAFE;81.00;N;;VOLKSWAGENAG;2605
LO;1;07829;;N;X;B00;SANJOSE;114.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
V;1;46980;;N;X;B00;PATERNA;100.00;N;;DAIMLERAG;2699
GI;1;08303;;N;D;B00;MATARO;21.90;N;;KWANGYANGMOTORCOLTD;1553
CR;1;13230;;N;D;B00;MEMBRILLA;73.00;N;;AUTOMOBILESCITROEN;2595
MA;1;29010;;N;D;B00;MALAGA;66.00;N;;AUDIA.G.;2457
O;1;33210;;N;D;B00;GIJON;66.00;N;;VOLKSWAGENAG;2456
GC;1;35008;;N;X;B00;LASPALMASGC;55.00;N;;AUTOMOBILEDACIASA;2589
Z;1;50009;;N;D;B00;ZARAGOZA;110.00;N;;FORDWERKEGMBH;2690
AL;1;04008;;N;D;B00;ALMERIA;77.00;N;;VOLKSWAGENAG;2675
Z;1;50018;;N;D;B00;ZARAGOZA;110.00;N;;AUDIA.G.;2817
M;1;28019;;N;D;B00;MADRID;92.00;N;;VOLKSWAGENAG;2670
B;1;08350;;N;D;B00;ARENYSDEMAR;66.00;N;;AUTOMOBILEDACIASA;2589
AL;1;04740;;N;D;B00;ROQUETASDEMAR;103.00;N;;VOLKSWAGENAG;2708
M;1;28032;;N;D;B00;MADRID;103.00;N;;VOLKSWAGENAG;2711
B;1;33163;;N;X;B00;MORCIN;114.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
MU;1;30009;;N;D;B00;MURCIA;77.00;N;;SKODAAUTOA.S.;2576
LO;1;28922;;N;D;B00;ALCORCON;110.00;N;;RENAULTS.A.S.;2690
O;1;33391;;N;D;B00;GIJON;110.00;N;;MAZDA;2700
T;1;43500;;N;D;B00;TORTOSA;62.50;N;;SUZUKIMOTORCORPORATION;2250
V;1;46007;;N;X;A07;VALENCIA;95.00;N;;DAIMLERAG;3665
CO;1;14007;;N;D;B00;CORDOBA;110.00;N;;MITSUBISHIMOTORR&DEUROPE;2670
V;1;46980;;N;D;A00;PATERNA;0.00;N;;ND;1310
MU;1;30730;;N;D;B00;SANJAVIER;85.00;N;;MITSUBISHIMOTORSCORPORATION;2670
LO;1;26559;;N;D;B00;ALDEANUEVADEEBRO;59.00;N;;ND;2450
B;1;08820;;N;D;B00;ELPRATDELLOBREGAT;2.30;N;;PEUGEOTMOTOCYCLES,S.A.;1330
B;1;08110;;N;D;B00;MONTCADAIREIXAC;55.00;N;;SEAT,S.A.;2469
A;1;03340;;N;D;B00;ALBATERA;77.00;N;;SEAT,S.A.;2578
MU;1;30800;;N;D;B00;LORCA;8.60;N;;HONDAITALIAINDUSTRIALESPA;1315
SS;1;20271;;N;D;B00;IRURA;100.00;N;;VOLKSWAGENAG;3665
CE;1;51002;;N;D;B00;CEUTA;2.44;N;;KWANGYANGMOTORCOLTD;1553
LE;1;24400;;N;D;B00;PONFERRADA;77.00;N;;SEAT,S.A.;2618
CO;1;06420;;N;D;B00;CASTUERA;92.00;N;;BAYERISCHEMOTORENWERKEAG;1550
B;1;08914;;N;D;B00;BADALONA;66.00;N;;AUTOMOBILEDACIASA;2589
GI;1;17530;;N;D;B00;CAMPDEVANOL;110.00;N;;VOLKSWAGENAG;2620
CA;1;11405;;N;D;B00;JEREZDELAFTRA;3.20;N;;PIAGGIO&C.S.P.A;1315
B;1;08005;;N;D;B00;BARCELONA;8.70;N;;HONDAITALIAINDUSTRIALESPA;1340
B;1;28864;;N;X;B00;AJALVIR;85.00;S;;BAYERISCHEMOTORENWERKEAG;2690
IB;1;07010;;N;D;B00;PALMAMALLORCA;61.80;N;;HYUNDAIASSANOTOMOTIVSANAYIVETICARETA.S.;2570
SS;1;20005;;N;D;B00;DONOSTIA;6.20;N;;HONDAITALIAINDUSTRIALESPA;1285
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;85.00;N;;ADAMOPELAG;3098
LE;1;24401;;N;X;B18;PONFERRADA;55.00;N;;AUTOMOBILESCITROEN;2728
M;1;28938;;N;D;B00;MOSTOLES;85.00;N;;VOLKSWAGENAG;2920
B;1;08500;;N;D;B00;VIC;82.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2780
M;1;28864;;N;X;B00;AJALVIR;81.00;N;;VOLKSWAGENAG;2670
CS;1;12003;01032007;U;D;B00;CASTELLOPLANA;103.00;N;;ND;2778
IB;1;07315;;N;X;A01;ESCORCA;55.00;N;;VOLKSWAGENAG;2456
M;1;28024;;N;D;B00;MADRID;10.58;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
LO;1;26200;;N;X;B00;HARO;80.00;N;;AUTOMOBILEDACIASA;2673
AB;1;13630;;N;D;B00;SOCUELLAMOS;81.00;N;;NISSANINTERNATIONAL,S.A.;2646
B;1;08203;;N;D;B00;SABADELL;77.00;N;;VOLKSWAGENAG;2620
M;1;28100;;N;X;B00;ALCOBENDAS;103.00;S;;AUDIA.G.;2601
M;1;28025;;N;X;B00;MADRID;92.00;N;;BAYERISCHEMOTORENWERKEAG;1490
TO;1;28026;;N;D;B00;MADRID;60.00;N;;AUTOMOBILESCITROEN;2340
M;1;28931;;N;D;B00;MOSTOLES;66.00;N;;SEAT,S.A.;2469
O;1;33600;;N;D;A00;MIERES;100.00;N;;RENAULTS.A.S.;3682
O;1;33420;;N;D;B00;SIERO;81.00;N;;ADAMOPELAG;2685
B;1;08030;;N;D;B00;BARCELONA;103.00;N;;ADAMOPELAG;2685
Z;1;50562;;N;X;B00;FRESCANO;55.30;S;;FORDWERKEGMBH;2662
B;1;08915;;N;D;B00;BADALONA;77.00;N;;SKODAAUTOA.S.;2451
SE;1;41020;;N;D;B00;SEVILLA;62.50;N;;KIAMOTORSCORPORATION;2570
TF;1;38008;;N;D;B00;SCTENERIFE;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2510
ZA;1;49128;;N;D;B00;CAÑIZO;66.00;N;;RENAULTS.A.S.;2589
M;1;28019;;N;X;B00;MADRID;80.00;N;;DAIMLERAG;2699
TO;1;10600;;N;D;B00;PLASENCIA;68.00;N;;ND;2537
M;1;28036;;N;D;B00;MADRID;100.00;N;;ND;2699
M;1;28015;;N;X;B00;MADRID;81.00;N;;ND;2605
A;1;03005;;N;D;B00;ALICANTE;141.00;N;;BAYERISCHEMOTORENWERKEAG;2495
NA;1;31012;;N;D;B00;PAMPLONA;103.00;N;;ADAMOPELAG;2555
M;1;28980;;N;D;B00;PARLA;82.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2780
TO;1;28523;;N;D;B00;RIVASVACIAMADRID;88.00;N;;AUTOMOBILESCITROEN;2785
ZA;1;49002;;N;D;B00;ZAMORA;81.00;N;;AUDIA.G.;2620
M;1;28021;;N;X;A00;MADRID;302.00;N;;SCANIACVAB;6545
M;1;28033;;N;D;B00;MADRID;110.00;N;;SKODAAUTOA.S.;2668
M;1;28050;;N;D;B00;MADRID;133.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2800
MA;1;29600;;N;D;B00;MARBELLA;51.00;N;;FIATGROUPAUTOMOBILESS.P.A.;2300
A;1;03007;;N;D;B00;ALICANTE;77.00;N;;VOLKSWAGENAG;2711
M;1;28032;;N;D;B00;MADRID;85.00;N;;RENAULTS.A.S.;2640
M;1;18002;;N;D;B00;GRANADA;55.00;N;;HARLEYDAVIDSONMOTORCOMPANY;915
MU;1;30800;;N;D;B00;LORCA;7.00;N;;CHANGZHOUKWANGYANGMOTORCOLTD;1340
B;1;08019;;N;D;B00;BARCELONA;9.10;N;;THAISUZUKIMOTORCOLTD;1465
A;1;03630;;N;D;B00;SAX;60.00;N;;AUTOMOBILESPEUGEOT;2537
IB;1;07819;;N;D;B00;STAEULALIADELRIO;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
CS;1;43878;;N;D;B00;MASDENVERGE;66.00;N;;AUDIA.G.;2457
MU;1;30890;;N;D;B00;PUERTOLUMBRERAS;2.00;N;;PIAGGIO&CSPA;1353
TO;1;10300;;N;D;B00;NAVALMORALDEMATA;97.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2780
M;1;28100;;N;X;B00;ALCOBENDAS;77.00;S;;VOLKSWAGENAG;2675
M;1;28009;;N;X;B00;MADRID;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
A;1;03150;;N;D;B00;DOLORES;74.00;N;;FORDWERKEGMBH;2489
M;B;28015;29112007;U;D;B00;MADRID;386.00;N;;DAIMLERCHRYSLERAG;2560
B;1;08203;;N;D;B00;SABADELL;66.00;N;;VOLKSWAGENAG;2456
V;1;46022;;N;D;B00;VALENCIA;85.00;N;;FORDWERKEGMBH;2648
PO;1;36800;;N;D;B00;REDONDELA;66.00;N;;ADAMOPELAG;2510
IB;1;07650;;N;D;B00;SANTANYI;66.00;N;;VOLKSWAGENAG;2456
BI;1;48940;;N;D;B00;LEIOA;85.00;N;;ADAMOPELAG;3098
M;1;28051;;N;D;B00;MADRID;77.00;N;;VOLKSWAGENAG;2620
M;1;28108;;N;X;B00;ALCOBENDAS;55.00;S;;RENAULTS.A.S.;2697
B;1;08034;;N;D;B00;BARCELONA;8.40;N;;HONDAVIETNAMCOLTD;1305
GU;1;28937;;N;X;B00;MOSTOLES;100.00;N;;DAIMLERAG;2699
GU;1;19002;;N;D;B00;GUADALAJARA;100.00;N;;DAIMLERAG;2699
M;1;28232;;N;D;B00;LASROZASDEMADRID;77.00;N;;VOLKSWAGENAG;2620
GR;1;18600;;N;D;B00;MOTRIL;66.00;N;;RENAULTS.A.S.;2606
M;1;28108;;N;X;B00;ALCOBENDAS;133.00;S;;VOLVOCARCORPORATION;2774
MA;1;29130;;N;D;B00;ALHAURINDELATORRE;81.00;N;;SEAT,S.A.;2618
B;1;08018;;N;D;B00;BARCELONA;81.00;N;;VOLKSWAGENAG;2605
SA;1;37788;;N;D;B00;PEDROSILLODEAIRES;133.00;N;;AUTOMOBILESCITROEN;2727
BI;1;48195;;N;D;B00;LARRABETZU;75.00;N;;VOLKSWAGENAG;2681
MU;1;30700;;N;X;B00;TORREPACHECO;21.90;N;;KWANGYANGMOTORCOLTD;1553
T;1;43500;;N;D;B00;TORTOSA;77.00;N;;AUDIA.G.;2585
GI;1;17130;;N;D;B00;LESCALA;110.00;N;;AUDIA.G.;2817
BA;1;21291;;N;D;B00;GALAROZA;51.00;N;;SKODAAUTOA.S.;2451
M;1;28100;;N;X;B00;ALCOBENDAS;103.00;S;;VOLKSWAGENAG;3000
MA;1;29640;;N;D;B00;MIJAS;81.00;N;;VOLKSWAGENAG;2456
A;1;03008;;N;D;B00;ALICANTE;66.00;N;;VOLKSWAGENAG;2456
LE;1;24010;;N;D;B00;SANANDRESRABANEDO;81.00;N;;SEAT,S.A.;2618
M;1;28529;;N;D;B00;RIVASVACIAMADRID;120.00;N;;AUTOMOBILESCITROEN;2612
ZA;1;49719;;N;D;B00;VILLAMORESCUDEROS;97.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
HU;1;43205;;N;D;B00;REUS;66.00;N;;AUTOMOBILEDACIASA;2673
M;1;28045;;N;D;B00;MADRID;77.00;N;;SKODAAUTOA.S.;2668
MA;1;29639;;N;D;B00;BENALMADENA;81.00;N;;VOLKSWAGENAG;2605
M;1;28035;;N;D;B00;MADRID;85.00;N;;BAYERISCHEMOTORENWERKEAG;2690
AL;1;04007;;N;D;B00;ALMERIA;100.00;N;;DAIMLERAG;2699
M;1;28330;;N;D;B00;SANMARTINDEVEGA;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
B;1;08130;;N;D;B00;SPERPETUADEMOGODA;66.00;N;;AUDIA.G.;2457
PO;1;36001;;N;D;B00;PONTEVEDRA;82.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2780
SS;1;20012;;N;D;B00;DONOSTIA;86.00;N;;MITSUBISHIMOTORSCORPORATION;2670
A;1;03001;;N;D;B00;ALICANTE;97.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
BU;1;09006;;N;D;B00;BURGOS;114.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
T;1;43500;;N;D;B00;TORTOSA;66.00;N;;ND;2456
C;1;15316;;N;D;B00;COIROS;68.00;N;;AUTOMOBILESPEUGEOT;2728
B;1;08198;;N;D;B00;SCUGATDELVALLES;66.00;N;;VOLKSWAGENAG;2456
V;1;46230;;N;D;B00;ALGINET;68.00;N;;AUTOMOBILESCITROEN;2728
M;1;28006;;N;D;B00;MADRID;118.00;N;;BAYERISCHEMOTORENWERKEAG;1455
BI;1;48280;;N;D;B00;LEKEITIO;85.00;N;;AUTOMOBILESCITROEN;2785
M;1;28590;;N;X;B00;VILLAREJOSALVANES;55.00;N;;AUTOMOBILESCITROEN;2513
B;1;08810;;N;D;A18;SPEREDERIBES;70.00;N;;DAIMLERAG;3200
LO;1;31290;;N;D;B00;YERRI;85.00;N;;MITSUBISHIMOTORSCORPORATION;2670
C;1;36939;;N;D;B00;BUEU;100.00;N;;DAIMLERAG;2699
MA;1;29670;;N;D;B00;MARBELLA;66.00;N;;RENAULTS.A.S.;2606
B;1;08202;;N;D;B00;SABADELL;66.00;N;;VOLKSWAGENAG;2456
IB;1;07315;;N;X;A01;ESCORCA;55.00;N;;VOLKSWAGENAG;2456
B;1;08004;;N;X;B00;BARCELONA;120.00;N;;DAIMLERAG;3200
M;1;28529;;N;D;B00;RIVASVACIAMADRID;103.00;N;;VOLKSWAGENAG;2708
IB;1;07011;;N;D;B00;PALMAMALLORCA;99.00;N;;KIAMOTORSSLOVAKIAS.R.O.;2640
B;1;08256;;N;X;B00;AGUILARDESEGARRA;110.00;S;;JAGUARLANDROVERLIMITED;2660
V;1;46440;;N;X;A00;ALMUSSAFES;0.00;N;;FAHRZEUGWERKBERNARDKRONEGMBH;1310
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;96.00;S;;NISSANINTERNATIONAL,S.A.;2646
M;1;28189;;N;X;A01;PATONES;330.00;S;;DAIMLERAG;3850
GI;1;17249;;N;D;B00;CASTELLPLATJADARO;110.00;N;;BAYERISCHEMOTORENWERKEAG;2670
AL;1;04410;;N;X;B00;BENAHADUX;80.00;N;;DAIMLERAG;2699
A;1;03340;;N;D;B00;ALBATERA;81.00;N;;VOLKSWAGENAG;2605
M;1;28189;;N;X;A01;PATONES;330.00;S;;DAIMLERAG;3850
TE;1;10664;;N;D;B00;MOHEDAS;110.00;N;;ND;2700
MU;1;30004;;N;D;B00;MURCIA;70.00;N;;TRIUMPHMOTORCYCLESLIMITED;1530
SE;1;41318;;N;D;B00;VILLAVERDEDELRIO;66.00;N;;AUTOMOBILEDACIASA;2673
Z;1;50800;;N;D;B00;ZUERA;103.00;N;;VOLKSWAGENAG;2920
BI;1;48012;;N;D;B00;BILBAO;13.50;N;;THAISUZUKIMOTORCOLTD;1465
M;1;28051;;N;D;B00;MADRID;105.00;N;;BAYERISCHEMOTORENWERKEAG;2810
SE;1;11130;;N;X;B00;CHICLANADELAFTRA;77.00;N;;VOLKSWAGENAG;2620
CO;1;14940;;N;D;B00;CABRA;68.00;N;;AUTOMOBILESCITROEN;2652
S;1;08008;;N;D;B00;BARCELONA;44.00;N;;VOLKSWAGENAG;2456
B;1;08025;;N;D;B00;BARCELONA;9.70;N;;SANYANGINDUSTRYCOLTD;1385
T;1;43330;;N;D;B00;RIUDOMS;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
LE;1;24010;;N;D;B00;SANANDRESRABANEDO;92.00;N;;SEAT,S.A.;2578
AL;1;04230;;N;X;B18;HUERCALDEALMERIA;84.00;N;;DAIMLERAG;3200
M;1;28806;;N;D;B00;ALCALADEHENARES;97.00;N;;RENAULTS.A.S.;2641
M;1;28023;;N;D;A04;MADRID;60.50;N;;AUTOMOBILEDACIASA;2810
M;1;28933;;N;D;B00;MOSTOLES;77.00;N;;SEAT,S.A.;2618
TE;1;50793;;N;D;B00;FABARA;55.00;N;;AUTOMOBILEDACIASA;2589
B;1;08635;;N;X;B00;SESTEVESESROVIRES;85.00;N;;RENAULTS.A.S.;3098
SS;1;20600;;N;D;B00;EIBAR;96.00;N;;ADAMOPELAG;2555
B;1;07850;;N;X;B00;STAEULALIADELRIO;110.00;N;;JAGUARLANDROVERLIMITED;2660
H;1;21110;;N;D;B00;ALJARAQUE;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
A;1;46400;;N;D;B00;CULLERA;110.00;N;;AUDIA.G.;2816
CA;1;11160;;N;D;B00;BARBATE;77.00;N;;VOLKSWAGENAG;2620
Z;1;50016;;N;D;B00;ZARAGOZA;132.00;N;;VOLKSWAGENAG;2575
B;1;25690;;N;D;B00;VILANOVADELABARCA;77.00;N;;VOLKSWAGENAG;2675
MU;1;30366;;N;X;B00;CARTAGENA;2.00;N;;KWANGYANGMOTORCOLTD;1331
TO;1;28017;;N;D;B00;MADRID;60.00;N;;AUTOMOBILESCITROEN;2595
M;1;28810;;N;D;B00;VILLALBILLA;110.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
B;1;08195;;N;D;B00;SCUGATDELVALLES;66.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2510
M;1;28220;;N;D;B00;MAJADAHONDA;24.50;N;;PIAGGIO&C.S.P.A;1625
CO;1;14009;;N;D;B00;CORDOBA;66.00;N;;AUTOMOBILEDACIASA;2673
M;1;28943;;N;D;B00;FUENLABRADA;90.00;N;;VOLKSWAGENAG;2620
M;1;28232;;N;D;B00;LASROZASDEMADRID;77.00;N;;VOLKSWAGENAG;2620
M;1;28050;;N;D;B00;MADRID;8.70;N;;ND;1340
B;1;08830;;N;D;B00;SBOIDELLOB;115.00;N;;DAIMLERAG;2699
MA;1;29017;;N;D;B00;MALAGA;81.00;N;;AUDIA.G.;2620
GI;1;17003;;N;D;B00;GIRONA;61.80;N;;HYUNDAIASSANOTOMOTIVSANAYIVETICARETA.S.;2570
M;1;28232;;N;D;B00;LASROZASDEMADRID;85.00;N;;AUTOMOBILESCITROEN;2785
M;1;28030;;N;D;B00;MADRID;110.00;N;;VOLKSWAGENAG;2620
M;1;28400;;N;D;B00;COLLADOVILLALBA;39.00;N;;HARLEYDAVIDSONMOTORCOMPANY;930
IB;1;07559;;N;X;A01;SONSERVERA;44.00;N;;VOLKSWAGENAG;2456
C;1;15106;;N;D;B00;CARBALLO;82.40;N;;YAMAHAMOTORCO,LTD;1540
GC;1;35018;;N;D;B00;LASPALMASGC;66.00;N;;AUTOMOBILEDACIASA;2589
CS;1;46470;;N;X;B00;MASSANASSA;35.00;N;;ND;1435
LU;1;27377;;N;D;A00;COSPEITO;0.00;N;;ND;3800
MA;1;29200;;N;X;A00;ANTEQUERA;331.00;N;;SCANIACVAB;3700
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;ND;2589
TF;1;38005;;N;D;B00;SCTENERIFE;63.00;N;;AUDIA.G.;2457
